seedResourceAcquisitionFitness,seedMutationProbability,turn,seedPopulation,error
1.8,0.5,32,13.161666666666667,3.4531255647469674
1.8,0.5,33,13.208333333333334,3.502598963824637
1.8,0.5,34,13.263333333333334,3.5259926180267485
1.8,0.5,35,13.185,3.508480775158395
1.8,0.5,36,12.995,3.4880724210266827
1.8,0.5,37,13.006666666666666,3.5038695177540244
1.8,0.5,38,12.936666666666667,3.5063345798202405
1.8,0.5,39,12.916666666666666,3.5252906702163944
1.8,0.5,40,12.82,3.508754173269839
1.8,0.5,41,12.87,3.531120383095839
1.8,0.5,42,13.0,3.5681770402241764
1.8,0.5,43,13.018333333333333,3.5650734804966433
1.8,0.5,44,12.948333333333334,3.557814588557161
1.8,0.5,45,13.006666666666666,3.5697984687408137
1.8,0.5,46,12.88,3.562375341378962
1.8,0.5,47,12.803333333333333,3.554449466223632
1.8,0.5,48,12.683333333333334,3.5387844886838504
1.8,0.5,49,12.691666666666666,3.542631493358268
1.8,0.5,50,12.69,3.5603337234790597
