lambda,turn,seedPopulation,error
1.35,6,6.1592,0.24344442699711433
1.35,7,8.3073,0.33583447382766796
1.35,8,11.1669,0.45649585299691786
1.35,9,14.7143,0.5892136622836031
1.35,10,18.9768,0.7298987931942946
1.35,11,23.5386,0.8581613787816842
1.35,12,28.1054,0.9692743644657185
1.35,13,32.2158,1.0551078622062597
1.35,14,35.6755,1.1192347944134369
1.35,15,38.3865,1.1618152130455002
1.35,16,40.4851,1.1913196822681371
1.35,17,42.1716,1.2138422125523363
1.35,18,43.4893,1.2306441962355592
1.35,19,44.4733,1.2422852976914314
1.35,20,45.2099,1.2509584007990924
1.35,21,45.7468,1.2568188597764518
1.35,22,46.1467,1.261694880030646
1.35,23,46.4398,1.2654538375875717
1.35,24,46.6126,1.2675618894331961
1.35,25,46.7404,1.2691787743980285
1.35,26,46.8232,1.2698863915873062
1.35,27,46.8916,1.270573816733446
1.35,28,46.9453,1.2711561047324835
1.35,29,46.9853,1.2716203472255998
1.35,30,47.0052,1.2718282254782238
1.35,31,47.0205,1.271962683630285
1.35,32,47.0325,1.2720030996658949
1.35,33,47.0459,1.2721369767462534
1.35,34,47.0547,1.2722643640653573
1.35,35,47.0613,1.2723344611049825
1.35,36,47.0635,1.2723116008868658
1.35,37,47.0674,1.272301742067846
1.35,38,47.0705,1.27230040510576
1.35,39,47.0757,1.2723433853754287
1.35,40,47.0826,1.2724666570675538
1.35,41,47.0839,1.2724974422619226
1.35,42,47.0839,1.2724974422619226
1.35,43,47.0839,1.2724974422619226
1.35,44,47.0839,1.2724974422619226
1.35,45,47.0839,1.2724974422619226
1.35,46,47.0839,1.2724974422619226
1.35,47,47.0839,1.2724974422619226
1.35,48,47.0839,1.2724974422619226
1.35,49,47.0839,1.2724974422619226
1.4,0,1.0,0.0
1.4,1,1.3885,0.030782698631151684
1.4,2,1.9674,0.05664445564786358
1.4,3,2.7608,0.09025032257492338
1.4,4,3.8272,0.1352517420052486
1.4,5,5.384,0.1995899482262935
1.4,6,7.5067,0.28919389216870695
1.4,7,10.5119,0.41131958130185
1.4,8,14.5084,0.5615595761328578
1.4,9,19.4302,0.7218406388798329
1.4,10,24.827,0.8677760083240322
1.4,11,30.1644,0.9873847458557101
1.4,12,34.8808,1.0739001500648229
1.4,13,38.9636,1.1392180674259151
1.4,14,42.0738,1.1814152660201458
1.4,15,44.4848,1.212203324172222
1.4,16,46.2775,1.233003317075827
1.4,17,47.5442,1.2473262498006932
1.4,18,48.4006,1.2565546199688598
1.4,19,48.9634,1.2626458975284223
