lambda,turn,seedPopulation,error
1.4,1,1.42,0.09847621475286616
1.4,2,1.955,0.18255662068113154
1.4,3,2.796,0.2975543782980212
1.4,4,3.872,0.43330330741341383
1.4,5,5.409,0.6411058494773831
1.4,6,7.627,0.9286851368854157
1.4,7,10.729,1.3249720394261928
1.4,8,14.801,1.7939045044912678
1.4,9,20.158,2.342635731211484
1.4,10,25.386,2.7724049430910362
1.4,11,30.918,3.140842587692866
1.4,12,35.854,3.442796715200828
1.4,13,39.683,3.6388259398326497
1.4,14,42.507,3.756396397485375
1.4,15,44.85,3.837129406059155
1.4,16,46.597,3.9049441334742383
1.4,17,47.792,3.948914122376536
1.4,18,48.657,3.980113354069047
1.4,19,49.166,3.997742216743845
1.4,20,49.523,4.01012156932854
1.4,21,49.713,4.013526121963565
1.4,22,49.875,4.018030652485834
1.4,23,49.986,4.022166987141468
1.4,24,50.086,4.024128522361728
1.4,25,50.121,4.024608086355407
1.4,26,50.172,4.026717765407085
1.4,27,50.194,4.02747724908491
1.4,28,50.2,4.027317147538
1.4,29,50.215,4.027176100778696
1.4,30,50.254,4.028542256125569
1.4,31,50.262,4.029131723596144
1.4,32,50.262,4.029131723596144
1.4,33,50.262,4.029131723596144
1.4,34,50.262,4.029131723596144
1.4,35,50.262,4.029131723596144
1.4,36,50.262,4.029131723596144
1.4,37,50.262,4.029131723596144
1.4,38,50.262,4.029131723596144
1.4,39,50.262,4.029131723596144
1.4,40,50.262,4.029131723596144
1.4,41,50.262,4.029131723596144
1.4,42,50.262,4.029131723596144
1.4,43,50.262,4.029131723596144
1.4,44,50.262,4.029131723596144
1.4,45,50.262,4.029131723596144
1.4,46,50.262,4.029131723596144
1.4,47,50.262,4.029131723596144
1.4,48,50.262,4.029131723596144
1.4,49,50.262,4.029131723596144
1.45,0,1.0,0.0
1.45,1,1.468,0.10052257600080128
1.45,2,2.139,0.1858827902101472
1.45,3,3.082,0.30444162305954015
1.45,4,4.463,0.4708248953272056
1.45,5,6.366,0.6920599236892482
1.45,6,9.211,1.0093060302256518
1.45,7,13.358,1.4849333919294647
1.45,8,18.88,2.0909001445277724
1.45,9,25.451,2.659068898993848
1.45,10,32.013,3.096863376590967
1.45,11,37.843,3.4038337738550624
1.45,12,42.94,3.622783180015709
1.45,13,46.826,3.7720658597757435
1.45,14,49.585,3.8621661738446633
1.45,15,51.451,3.922717920710191
1.45,16,52.674,3.9597674582749818
1.45,17,53.304,3.968713196918223
1.45,18,53.836,3.97794043845267
1.45,19,54.193,3.985844082978211
1.45,20,54.497,3.9941071904254812
1.45,21,54.667,3.9996766370531702
1.45,22,54.732,4.001885680126605
1.45,23,54.8,4.005152006036951
1.45,24,54.806,4.005561464449777
1.45,25,54.806,4.005561464449777
1.45,26,54.806,4.005561464449777
1.45,27,54.806,4.005561464449777
1.45,28,54.806,4.005561464449777
1.45,29,54.806,4.005561464449777
1.45,30,54.806,4.005561464449777
1.45,31,54.806,4.005561464449777
1.45,32,54.806,4.005561464449777
1.45,33,54.806,4.005561464449777
1.45,34,54.806,4.005561464449777
1.45,35,54.806,4.005561464449777
1.45,36,54.806,4.005561464449777
1.45,37,54.806,4.005561464449777
1.45,38,54.806,4.005561464449777
1.45,39,54.806,4.005561464449777
1.45,40,54.806,4.005561464449777
1.45,41,54.806,4.005561464449777
1.45,42,54.806,4.005561464449777
1.45,43,54.806,4.005561464449777
1.45,44,54.806,4.005561464449777
1.45,45,54.806,4.005561464449777
1.45,46,54.806,4.005561464449777
1.45,47,54.806,4.005561464449777
1.45,48,54.806,4.005561464449777
1.45,49,54.806,4.005561464449777
1.5,0,1.0,0.0
1.5,1,1.543,0.0979543891536434
1.5,2,2.399,0.19663886639353567
1.5,3,3.626,0.3382302616886701
1.5,4,5.289,0.5238598442620983
1.5,5,7.988,0.8185054025273173
1.5,6,12.146,1.256900934266035
1.5,7,18.101,1.890818022750011
1.5,8,25.768,2.5214068973242547
1.5,9,34.139,3.082553892110294
1.5,10,41.56,3.4459343915711855
1.5,11,47.256,3.6420263131149397
1.5,12,51.679,3.762929539940153
1.5,13,54.791,3.8347405770815257
1.5,14,56.868,3.881919681044245
1.5,15,58.09,3.9030689872124285
1.5,16,58.891,3.9161646200364686
1.5,17,59.376,3.9276714705168345
1.5,18,59.635,3.931616595498326
1.5,19,59.769,3.9331164485441477
1.5,20,59.855,3.935051166114171
1.5,21,59.899,3.935744787470007
1.5,22,59.918,3.935923880745463
1.5,23,59.942,3.9370189121046835
1.5,24,59.942,3.9370189121046835
1.5,25,59.942,3.9370189121046835
1.5,26,59.942,3.9370189121046835
1.5,27,59.942,3.9370189121046835
1.5,28,59.942,3.9370189121046835
1.5,29,59.942,3.9370189121046835
1.5,30,59.942,3.9370189121046835
1.5,31,59.942,3.9370189121046835
1.5,32,59.942,3.9370189121046835
1.5,33,59.942,3.9370189121046835
1.5,34,59.942,3.9370189121046835
1.5,35,59.942,3.9370189121046835
1.5,36,59.942,3.9370189121046835
1.5,37,59.942,3.9370189121046835
1.5,38,59.942,3.9370189121046835
1.5,39,59.942,3.9370189121046835
1.5,40,59.942,3.9370189121046835
1.5,41,59.942,3.9370189121046835
1.5,42,59.942,3.9370189121046835
1.5,43,59.942,3.9370189121046835
1.5,44,59.942,3.9370189121046835
1.5,45,59.942,3.9370189121046835
1.5,46,59.942,3.9370189121046835
1.5,47,59.942,3.9370189121046835
1.5,48,59.942,3.9370189121046835
1.5,49,59.942,3.9370189121046835
1.55,0,1.0,0.0
1.55,1,1.59,0.10544867573208982
1.55,2,2.491,0.20935517552647553
1.55,3,3.907,0.3623996028823995
1.55,4,6.061,0.5970552242625624
1.55,5,9.347,0.956096316033582
1.55,6,14.561,1.512891976180203
1.55,7,22.004,2.2517698583783563
1.55,8,30.514,2.9034518981642847
1.55,9,38.62,3.353096221383197
1.55,10,45.258,3.62328224499673
1.55,11,49.946,3.757515294909105
1.55,12,53.379,3.830473276067643
1.55,13,55.65,3.8674475107723723
1.55,14,57.287,3.888037187868406
1.55,15,58.568,3.9118930401436955
1.55,16,59.226,3.924235935975446
1.55,17,59.577,3.931920596947961
1.55,18,59.749,3.9335873777856563
1.55,19,59.883,3.935547974978803
1.55,20,59.928,3.936735930094038
1.55,21,59.955,3.937853312546686
1.55,22,59.955,3.937853312546686
1.55,23,59.955,3.937853312546686
1.55,24,59.955,3.937853312546686
1.55,25,59.955,3.937853312546686
1.55,26,59.955,3.937853312546686
1.55,27,59.955,3.937853312546686
1.55,28,59.955,3.937853312546686
